Date,Open,High,Low,Close,Adj Close,Volume
14-08-2017,922.530029,932.700012,907.153992,910.669983,910.669983,5574500
21-08-2017,910,930.840027,903.400024,915.890015,915.890015,5524000
28-08-2017,916,942.47998,905,937.340027,937.340027,6103300
04-09-2017,933.080017,937,919.27002,926.5,926.5,5078300
11-09-2017,934.25,938.380005,916.359985,920.289978,920.289978,7407000
18-09-2017,920.01001,936.530029,910.599976,928.530029,928.530029,6256700
25-09-2017,925.450012,959.786011,909.700012,959.109985,959.109985,8364400
02-10-2017,959.97998,979.460022,947.840027,978.890015,978.890015,5511800
09-10-2017,980,997.210022,966.080017,989.679993,989.679993,5985300
16-10-2017,992.099976,996.719971,978.390015,988.200012,988.200012,5755100
23-10-2017,989.52002,1048.390015,960.52002,1019.27002,1019.27002,11111700
30-10-2017,1014,1032.650024,1007.5,1032.47998,1032.47998,6914600
06-11-2017,1028.98999,1043.521973,1019.666016,1028.069946,1028.069946,5291400
13-11-2017,1023.419983,1035.920044,1014.150024,1019.090027,1019.090027,5225800
20-11-2017,1020.26001,1043.177979,1017.5,1040.609985,1040.609985,3333800
27-11-2017,1040,1062.375,1002.02002,1010.169983,1010.169983,8825300
04-12-2017,1012.659973,1042.050049,988.280029,1037.050049,1037.050049,7994700
11-12-2017,1035.5,1067.619995,1032.050049,1064.189941,1064.189941,8589600
18-12-2017,1066.079956,1078.48999,1059.439941,1060.119995,1060.119995,5912700
25-12-2017,1058.069946,1060.119995,1044.77002,1046.400024,1046.400024,3757100
01-01-2018,1048.339966,1104.25,1045.22998,1102.22998,1102.22998,4951500
08-01-2018,1102.22998,1124.290039,1096.109985,1122.26001,1122.26001,5691700
15-01-2018,1132.51001,1139.910034,1117.01001,1137.51001,1137.51001,5754300
22-01-2018,1137.48999,1179.859985,1135.109985,1175.839966,1175.839966,7867000
29-01-2018,1176.47998,1186.890015,1107.277954,1111.900024,1111.900024,11743900
05-02-2018,1090.599976,1110,992.559998,1037.780029,1037.780029,15980500
12-02-2018,1048,1104.670044,1040.927979,1094.800049,1094.800049,8401500
19-02-2018,1090.569946,1133.969971,1088.52002,1126.790039,1126.790039,5514200
26-02-2018,1127.800049,1144.040039,1048.11499,1078.920044,1078.920044,10003300
05-03-2018,1075.140015,1160.800049,1069,1160.040039,1160.040039,7510600
12-03-2018,1163.849976,1177.050049,1131.959961,1135.72998,1135.72998,9858300
19-03-2018,1120.01001,1121.98999,1021.219971,1021.570007,1021.570007,11340400
26-03-2018,1046,1064.838989,980.640015,1031.790039,1031.790039,11856500
02-04-2018,1022.820007,1042.790039,990.369995,1007.039978,1007.039978,10549600
09-04-2018,1016.799988,1046.420044,1011.340027,1029.27002,1029.27002,7790000
16-04-2018,1037,1094.165039,1026.73999,1072.959961,1072.959961,8513000
23-04-2018,1077.859985,1082.719971,1010.590027,1030.050049,1030.050049,13192000
30-04-2018,1030.01001,1048.51001,1006.289978,1048.209961,1048.209961,8456100
07-05-2018,1049.22998,1101.329956,1047.099976,1098.26001,1098.26001,7413300
14-05-2018,1100,1110.75,1060.680054,1066.359985,1066.359985,6719300
21-05-2018,1074.060059,1088,1061.709961,1075.660034,1075.660034,4840100
28-05-2018,1064.890015,1120,1055.219971,1119.5,1119.5,8513500
04-06-2018,1122.329956,1145.738037,1112.150024,1120.869995,1120.869995,8076600
11-06-2018,1118.599976,1155.469971,1118.599976,1152.26001,1152.26001,6963600
18-06-2018,1143.650024,1186.286011,1143.589966,1155.47998,1155.47998,7232300
25-06-2018,1143.599976,1143.910034,1096.01001,1115.650024,1115.650024,7401900
02-07-2018,1099,1140.930054,1093.800049,1140.170044,1140.170044,3959100
09-07-2018,1148.47998,1195.416992,1141,1188.819946,1188.819946,5301200
16-07-2018,1189.390015,1204.5,1170.599976,1184.910034,1184.910034,6583800
23-07-2018,1181.01001,1273.890015,1181,1238.5,1238.5,12601400
30-07-2018,1228.01001,1234.916016,1204.790039,1223.709961,1223.709961,7682700
06-08-2018,1225,1256.5,1215.796997,1237.609985,1237.609985,5903300
13-08-2018,1236.97998,1249.272949,1188.23999,1200.959961,1200.959961,6907000
20-08-2018,1205.02002,1221.650024,1194.625977,1220.650024,1220.650024,4903000
27-08-2018,1227.599976,1253.63501,1211.285034,1218.189941,1218.189941,6907000
03-09-2018,1204.27002,1212.98999,1152,1164.829956,1164.829956,7182100
10-09-2018,1172.189941,1180.425049,1156.23999,1172.530029,1172.530029,5995400
17-09-2018,1170.140015,1192.209961,1154.030029,1166.089966,1166.089966,9332500
24-09-2018,1157.170044,1202.099976,1146.910034,1193.469971,1193.469971,6352400
01-10-2018,1199.890015,1209.959961,1145.119995,1157.349976,1157.349976,7695500
08-10-2018,1150.109985,1168,1068.27002,1110.079956,1110.079956,10967100
15-10-2018,1108.910034,1128.98999,1077.089966,1096.459961,1096.459961,8130200
22-10-2018,1103.060059,1112.22998,1034.089966,1071.469971,1071.469971,12078700
29-10-2018,1082.469971,1097.040039,995.830017,1057.790039,1057.790039,12944200
05-11-2018,1055,1095.459961,1021.23999,1066.150024,1066.150024,8564500
12-11-2018,1061.390015,1071.849976,1031,1061.48999,1061.48999,8045600
19-11-2018,1057.199951,1060.790039,996.02002,1023.880005,1023.880005,6533500
26-11-2018,1038.349976,1095.569946,1033.910034,1094.430054,1094.430054,10270500
03-12-2018,1123.140015,1124.650024,1028.5,1036.579956,1036.579956,9206800
10-12-2018,1035.050049,1081.650024,1023.289978,1042.099976,1042.099976,7742600
17-12-2018,1037.51001,1062,973.690002,979.539978,979.539978,14326700
24-12-2018,973.900024,1055.560059,970.109985,1037.079956,1037.079956,7488200
31-12-2018,1050.959961,1070.839966,1014.070007,1070.709961,1070.709961,6960900
07-01-2019,1071.5,1084.560059,1048.47998,1057.189941,1057.189941,7923300
14-01-2019,1046.920044,1108.352051,1041.255005,1098.26001,1098.26001,7138000
21-01-2019,1088,1094,1059.75,1090.98999,1090.98999,5060900
28-01-2019,1080.109985,1125,1055.86499,1110.75,1110.75,6586400
04-02-2019,1112.660034,1147,1086,1095.060059,1095.060059,11354900
11-02-2019,1096.949951,1134.72998,1092.859985,1113.650024,1113.650024,6121500
18-02-2019,1110,1123.410034,1092.52002,1110.369995,1110.369995,4598800
25-02-2019,1116,1142.969971,1099.920044,1140.98999,1140.98999,6845600
04-03-2019,1146.98999,1169.609985,1123.300049,1142.319946,1142.319946,6367500
11-03-2019,1144.449951,1200.930054,1144.449951,1184.459961,1184.459961,8802800
18-03-2019,1183.300049,1231.790039,1177.421021,1205.5,1205.5,7958900
25-03-2019,1196.930054,1206.397949,1159.369995,1173.310059,1173.310059,7029800
01-04-2019,1184.099976,1216.300049,1182,1207.150024,1207.150024,4951900
08-04-2019,1207.890015,1218.349976,1193.079956,1217.869995,1217.869995,4104800
15-04-2019,1218,1242,1209.109985,1236.369995,1236.369995,4597400
22-04-2019,1235.98999,1273.069946,1228.310059,1272.180054,1272.180054,5494700
29-04-2019,1274,1289.27002,1155.001953,1185.400024,1185.400024,15271100
06-05-2019,1166.26001,1190.849976,1142.5,1164.27002,1164.27002,6924800
13-05-2019,1141.959961,1188.160034,1116.666016,1162.300049,1162.300049,8726500
20-05-2019,1144.5,1158.52002,1129.223999,1133.469971,1133.469971,5738500
27-05-2019,1134,1151.587036,1100.180054,1103.630005,1103.630005,5362900
03-06-2019,1065.5,1070.920044,1025,1066.040039,1066.040039,13638100
10-06-2019,1072.97998,1101.98999,1067.540039,1085.349976,1085.349976,6131100
17-06-2019,1086.280029,1124.109985,1086.280029,1121.880005,1121.880005,6876700
24-06-2019,1119.609985,1122,1072.23999,1080.910034,1080.910034,7450900
01-07-2019,1098,1132.880005,1093.703003,1131.589966,1131.589966,4459200
08-07-2019,1125.170044,1153.069946,1107.170044,1144.900024,1144.900024,5835800
15-07-2019,1146.859985,1158.579956,1129.619995,1130.099976,1130.099976,6250500
22-07-2019,1133.449951,1265.550049,1120.920044,1250.410034,1250.410034,11000600
29-07-2019,1241.050049,1247.369995,1188.939941,1193.98999,1193.98999,8746100
05-08-2019,1170.040039,1205.01001,1140.140015,1188.01001,1188.01001,8284900
12-08-2019,1179.209961,1204.780029,1160.540039,1177.599976,1177.599976,6408100
19-08-2019,1190.089966,1206.98999,1147.75,1151.290039,1151.290039,5522300
26-08-2019,1157.26001,1198.5,1152.959961,1188.099976,1188.099976,5323500
02-09-2019,1177.030029,1213.040039,1163.199951,1204.930054,1204.930054,5029000
09-09-2019,1204,1241.859985,1192.619995,1239.560059,1239.560059,7066300
16-09-2019,1229.52002,1244.439941,1216.530029,1229.930054,1229.930054,6409500
23-09-2019,1226,1248.300049,1210.089966,1225.089966,1225.089966,6990500
30-09-2019,1220.969971,1231.22998,1162.430054,1209,1209,7076300
07-10-2019,1204.400024,1228.390015,1189.01001,1215.449951,1215.449951,4869200
14-10-2019,1212.339966,1263.324951,1211.76001,1245.48999,1245.48999,5649000
21-10-2019,1252.26001,1269.599976,1240.599976,1265.130005,1265.130005,5203700
28-10-2019,1275.449951,1299.310059,1250.843018,1273.73999,1273.73999,9034300
04-11-2019,1276.449951,1323.73999,1276.35498,1311.369995,1311.369995,7218100
11-11-2019,1303.180054,1334.880005,1293.51001,1334.869995,1334.869995,5900600
18-11-2019,1332.219971,1335.529053,1291.150024,1295.339966,1295.339966,6446400
25-11-2019,1299.180054,1318.359985,1298.130005,1304.959961,1304.959961,3688500
02-12-2019,1301,1344,1279,1340.619995,1340.619995,6719700
09-12-2019,1338.040039,1359.449951,1336.040039,1347.829956,1347.829956,6129400
16-12-2019,1356.5,1365,1348.984985,1349.589966,1349.589966,9558800
23-12-2019,1355.869995,1364.530029,1342.780029,1351.890015,1351.890015,2936500
30-12-2019,1350,1372.5,1329.084961,1360.660034,1360.660034,4605700
06-01-2020,1350,1434.928955,1350,1429.72998,1429.72998,8084600
13-01-2020,1436.130005,1481.295044,1426.02002,1480.390015,1480.390015,8063800
20-01-2020,1479.119995,1503.213989,1465.25,1466.709961,1466.709961,6783300
27-01-2020,1431,1470.130005,1421.199951,1434.22998,1434.22998,8166900
03-02-2020,1462,1490,1426.300049,1479.22998,1479.22998,11807700
10-02-2020,1474.319946,1529.630005,1474.319946,1520.73999,1520.73999,6059400
17-02-2020,1515,1532.105957,1480.439941,1485.109985,1485.109985,4898300
24-02-2020,1426.109985,1438.140015,1271,1339.329956,1339.329956,14315200
02-03-2020,1351.609985,1410.150024,1261.050049,1298.410034,1298.410034,11969000
09-03-2020,1205.300049,1281.150024,1113.300049,1219.72998,1219.72998,16512100
16-03-2020,1096,1157.969971,1037.280029,1072.319946,1072.319946,19600200
23-03-2020,1061.319946,1169.969971,1013.536011,1110.709961,1110.709961,18250300
30-03-2020,1125.040039,1175.310059,1079.810059,1097.880005,1097.880005,11683000
06-04-2020,1138,1225.569946,1130.939941,1211.449951,1211.449951,9202500
13-04-2020,1209.180054,1294.430054,1187.598022,1283.25,1283.25,10349000
20-04-2020,1271,1293.310059,1209.709961,1279.310059,1279.310059,9146700
27-04-2020,1296,1359.98999,1232.199951,1320.609985,1320.609985,13086900
04-05-2020,1308.22998,1398.76001,1299,1388.369995,1388.369995,7155400
11-05-2020,1378.280029,1416.530029,1323.910034,1373.189941,1373.189941,7926100
18-05-2020,1361.75,1415.48999,1354.25,1410.420044,1410.420044,7452800
25-05-2020,1437.27002,1441,1391.290039,1428.920044,1428.920044,7259500
01-06-2020,1418.390015,1446.552002,1404.72998,1438.390015,1438.390015,6970600
08-06-2020,1422.339966,1474.259033,1386.02002,1413.180054,1413.180054,8276300
15-06-2020,1390.800049,1460,1387.920044,1431.719971,1431.719971,9502500
22-06-2020,1429,1475.94104,1351.98999,1359.900024,1359.900024,10226400
29-06-2020,1358.180054,1482.949951,1347.01001,1464.699951,1464.699951,7486900
06-07-2020,1480.060059,1543.829956,1472.859985,1541.73999,1541.73999,7551500
13-07-2020,1550,1577.131958,1483.5,1515.550049,1515.550049,8018100
20-07-2020,1515.26001,1586.98999,1488.400024,1511.869995,1511.869995,6877100
27-07-2020,1515.599976,1540.969971,1454.030029,1482.959961,1482.959961,9166000
03-08-2020,1486.640015,1516.844971,1458.650024,1494.48999,1494.48999,9786400
10-08-2020,1487.180054,1537.25,1473.079956,1507.72998,1507.72998,6990700
17-08-2020,1514.670044,1597.719971,1507.969971,1580.420044,1580.420044,8219400
24-08-2020,1593.97998,1659.219971,1580.569946,1644.410034,1644.410034,11011000
31-08-2020,1647.890015,1733.180054,1547.613037,1591.040039,1591.040039,11876300
07-09-2020,1533.51001,1584.081055,1497.359985,1520.719971,1520.719971,7601300
14-09-2020,1539.005005,1564,1437.130005,1459.98999,1459.98999,9323100
21-09-2020,1440.060059,1469.52002,1406.550049,1444.959961,1444.959961,8902600
28-09-2020,1474.209961,1499.040039,1449.301025,1458.420044,1458.420044,7751300
05-10-2020,1466.209961,1516.52002,1436,1515.219971,1515.219971,6728000
12-10-2020,1543,1593.859985,1532.569946,1573.01001,1573.01001,8987600
